Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
46,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
47,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
48,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
49,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
50,5001.0,10.0,10.0,5001.0,10.0,10.0,10.0,5001.0,10.0,10.0,5001.0,10.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,5001.0,10.0,10.0,5001.0,10.0,10.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5001.0,10.0,10.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
51,5101.0,10.0,10.0,5101.0,10.0,10.0,10.0,5101.0,10.0,10.0,5101.0,10.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,5101.0,10.0,10.0,5101.0,10.0,10.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5101.0,10.0,10.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
52,5201.0,10.0,10.0,5201.0,10.0,10.0,10.0,5201.0,10.0,10.0,5201.0,10.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,5201.0,10.0,10.0,5201.0,10.0,10.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5201.0,10.0,10.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
53,5301.0,10.0,10.0,5301.0,10.0,10.0,10.0,5301.0,10.0,10.0,5301.0,10.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,5301.0,10.0,10.0,5301.0,10.0,10.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5301.0,10.0,10.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
54,5401.0,10.0,10.0,5401.0,10.0,10.0,10.0,5401.0,10.0,10.0,5401.0,10.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,5401.0,10.0,10.0,5401.0,10.0,10.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5401.0,10.0,10.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
55,5501.0,10.0,10.0,5501.0,10.0,10.0,10.0,5501.0,10.0,10.0,5501.0,10.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,5501.0,10.0,10.0,5501.0,10.0,10.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5501.0,10.0,10.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
56,5601.0,10.0,10.0,5601.0,10.0,10.0,10.0,5601.0,10.0,10.0,5601.0,10.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,5601.0,10.0,10.0,5601.0,10.0,10.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5601.0,10.0,10.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
57,5701.0,10.0,10.0,5701.0,10.0,10.0,10.0,5701.0,10.0,10.0,5701.0,10.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,5701.0,10.0,10.0,5701.0,10.0,10.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5701.0,10.0,10.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
58,5801.0,10.0,10.0,5801.0,10.0,10.0,10.0,5801.0,10.0,10.0,5801.0,10.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,5801.0,10.0,10.0,5801.0,10.0,10.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5801.0,10.0,10.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
59,5901.0,10.0,10.0,5901.0,10.0,10.0,10.0,5901.0,10.0,10.0,5901.0,10.0,5901.0,10.0,10.0,10.0,10.0,10.0,10.0,5901.0,10.0,10.0,5901.0,10.0,10.0,5901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5901.0,10.0,10.0,5901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
60,6001.0,10.0,10.0,6001.0,10.0,10.0,10.0,6001.0,10.0,10.0,6001.0,10.0,6001.0,10.0,10.0,10.0,10.0,10.0,10.0,6001.0,10.0,10.0,6001.0,10.0,10.0,6001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6001.0,10.0,10.0,6001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
61,6101.0,10.0,10.0,6101.0,10.0,10.0,10.0,6101.0,10.0,10.0,6101.0,10.0,6101.0,10.0,10.0,10.0,10.0,10.0,10.0,6101.0,10.0,10.0,6101.0,10.0,10.0,6101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6101.0,10.0,10.0,6101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
62,6201.0,10.0,10.0,6201.0,10.0,10.0,10.0,6201.0,10.0,10.0,6201.0,10.0,6201.0,10.0,10.0,10.0,10.0,10.0,10.0,6201.0,10.0,10.0,6201.0,10.0,10.0,6201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6201.0,10.0,10.0,6201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
63,6301.0,10.0,10.0,6301.0,10.0,10.0,10.0,6301.0,10.0,10.0,6301.0,10.0,6301.0,10.0,10.0,10.0,10.0,10.0,10.0,6301.0,10.0,10.0,6301.0,10.0,10.0,6301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6301.0,10.0,10.0,6301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
