Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29
74,-70.0000,-59.3554,-51.3983,-70.0000,-53.2582,-67.5382,-60.2066,-65.2266,-52.2243,-70.0000,-69.1460,-58.4008,-63.6165,-63.7480,-70.0000,-61.4281,-70.0000,-57.3098,-69.2579,-53.2934,-62.6833,-70.0000,-70.0000,-70.0000,-69.5789,-69.8017,-70.0000,-70.0000,-65.4027,-55.7492
75,-70.0000,-57.6555,-50.9787,-70.0000,-58.8614,-64.5997,-58.8062,-63.6637,-49.4199,-70.0000,-68.2662,-57.0128,-62.3920,-66.9402,-70.0000,-65.1884,-70.0000,-60.5610,-70.0000,-51.1619,-67.4339,-66.4823,-66.5765,-70.0000,-65.4901,-69.7841,-68.2024,-66.8256,-67.1899,-60.4286
76,-70.0000,-61.7671,-47.5450,-70.0000,-54.7449,-65.8299,-64.0250,-63.5669,-48.0224,-67.2968,-66.7749,-58.4742,-62.6236,-70.0000,-67.9752,-69.2496,-65.2117,-63.6004,-70.0000,-54.7818,-70.0000,-68.4822,-68.7147,-70.0000,-61.4503,-70.0000,-64.4896,-68.9691,-68.8958,-63.9700
77,-66.1169,-61.6404,-50.8984,-65.4790,-54.6211,-64.7947,-63.1036,-68.1408,-46.8320,-64.5713,-66.3569,-60.3609,-61.7270,-65.9281,-70.0000,-68.3658,-61.5438,-63.9731,-70.0000,-56.7009,-70.0000,-64.9935,-65.3525,-70.0000,-66.6749,-68.3612,-62.4248,-66.6520,-70.0000,-62.0332
78,-62.2643,-65.1849,-56.7521,-65.2680,-51.8533,-66.9544,-58.6443,-65.5590,-46.3653,-62.8096,-65.4437,-63.9271,-61.1922,-64.6541,-67.0861,-70.0000,-58.4660,-65.2544,-66.9899,-59.5645,-65.6262,-67.3080,-66.5731,-68.0434,-68.7233,-69.8069,-60.2468,-61.8573,-65.7714,-65.9263
79,-65.2935,-69.0386,-56.3865,-69.9912,-56.9138,-67.9190,-62.7175,-67.0793,-50.8889,-61.3295,-70.0000,-67.1077,-57.9192,-69.0524,-67.4617,-66.6201,-55.8269,-67.9022,-70.0000,-56.4368,-61.5734,-62.7289,-70.0000,-64.3314,-66.4281,-70.0000,-60.8729,-60.2578,-68.3709,-70.0000
80,-66.7905,-65.5785,-55.1662,-66.3726,-57.5602,-70.0000,-60.0329,-70.0000,-48.3600,-66.4773,-70.0000,-63.4996,-60.0847,-69.4145,-67.0863,-63.3400,-61.4402,-63.7480,-70.0000,-57.4759,-66.4576,-58.2078,-68.3716,-60.5778,-70.0000,-67.9300,-59.1666,-61.8763,-69.1781,-69.6938
81,-67.3040,-62.9917,-58.2501,-65.5351,-55.0980,-68.6789,-59.1151,-66.7656,-52.8546,-62.6398,-70.0000,-60.0909,-55.7833,-70.0000,-63.9650,-61.7271,-61.8111,-65.9559,-70.0000,-54.7883,-65.6724,-55.6089,-66.6492,-60.9991,-68.1103,-70.0000,-58.3367,-64.8894,-70.0000,-70.0000
82,-69.6901,-66.9145,-61.3719,-65.4566,-60.1085,-70.0000,-54.7078,-70.0000,-50.8327,-64.9744,-70.0000,-55.6775,-56.3276,-68.0563,-69.0811,-64.3752,-59.4380,-70.0000,-70.0000,-57.0737,-65.5547,-54.1309,-68.8895,-58.0152,-63.6808,-70.0000,-63.8499,-61.3398,-70.0000,-66.4016
83,-70.0000,-69.2746,-65.5131,-70.0000,-57.1657,-67.4772,-56.3353,-68.5070,-55.0822,-64.2361,-65.4189,-61.0914,-57.9843,-70.0000,-67.0612,-62.1684,-58.3733,-68.2007,-65.9349,-54.2179,-61.0005,-57.3458,-70.0000,-60.3543,-68.8855,-70.0000,-59.5617,-58.8023,-65.2226,-61.7844
84,-70.0000,-67.5072,-67.8438,-67.9379,-55.5609,-70.0000,-57.5621,-67.5424,-54.9537,-60.0345,-68.4519,-63.8393,-53.7796,-70.0000,-67.5363,-58.2541,-57.4345,-70.0000,-62.7147,-51.2751,-62.6361,-59.1507,-65.8169,-61.0204,-67.1920,-65.3748,-61.4774,-63.4191,-62.3151,-60.3999
85,-68.0641,-63.3123,-63.9850,-70.0000,-59.5680,-69.4816,-62.3710,-65.1729,-60.2291,-56.3960,-69.1590,-65.7814,-53.7889,-69.0887,-68.5695,-55.0197,-62.3084,-69.2991,-60.9193,-56.0511,-63.0276,-62.5184,-66.6381,-65.4869,-67.8019,-62.4004,-61.1285,-58.9846,-61.1192,-64.8617
86,-69.0065,-59.7983,-64.8588,-70.0000,-61.4740,-70.0000,-61.3243,-65.3295,-65.2664,-60.2916,-70.0000,-67.7616,-50.9319,-64.5453,-67.8083,-60.6961,-60.1235,-68.0535,-61.9977,-60.8449,-63.6713,-57.9574,-67.4038,-65.7976,-68.7815,-58.2158,-65.8598,-63.2161,-64.1619,-67.9002
87,-69.6768,-58.6277,-63.0172,-66.0483,-59.8838,-70.0000,-56.8182,-60.8118,-62.5620,-64.9982,-70.0000,-70.0000,-49.3667,-60.7582,-63.9891,-57.8021,-62.6946,-70.0000,-65.5912,-57.2140,-68.1717,-56.0747,-66.4559,-64.5765,-67.8130,-57.3635,-70.0000,-63.1874,-63.7234,-70.0000
88,-70.0000,-58.2963,-60.5169,-69.5765,-62.1988,-70.0000,-53.8808,-62.4572,-66.7042,-67.8188,-70.0000,-70.0000,-50.3416,-58.9655,-61.4948,-59.7414,-64.3740,-69.7533,-68.2627,-58.1439,-64.1638,-53.6557,-64.6174,-63.0234,-64.2891,-56.7885,-70.0000,-68.2242,-61.0639,-69.7431
89,-70.0000,-59.6583,-56.0630,-65.9800,-61.9161,-68.5420,-55.7684,-60.4025,-63.1912,-67.9687,-66.0883,-69.5577,-46.3603,-61.6808,-61.5848,-58.5477,-67.2139,-70.0000,-70.0000,-55.6586,-62.2168,-55.3052,-61.9097,-65.7482,-61.5276,-60.9277,-70.0000,-70.0000,-59.6660,-70.0000
90,-66.2358,-63.2074,-56.9268,-70.0000,-58.9154,-70.0000,-55.1841,-59.8378,-66.0936,-70.0000,-63.7947,-70.0000,-46.7509,-59.5206,-57.7845,-54.7797,-70.0000,-70.0000,-69.4375,-58.1423,-63.6617,-57.9956,-62.8203,-70.0000,-60.4840,-56.9939,-65.4715,-67.8818,-62.5705,-67.2583
91,-62.1755,-65.0086,-61.9743,-70.0000,-61.5493,-69.5044,-54.0163,-58.0918,-65.4298,-66.9486,-63.2808,-70.0000,-49.4746,-61.3586,-57.3264,-59.3428,-67.9313,-70.0000,-70.0000,-55.1196,-62.5244,-63.0286,-58.4422,-70.0000,-59.4331,-56.3668,-65.2587,-66.0797,-67.7978,-63.1071
92,-58.2472,-67.4190,-64.6061,-68.0097,-65.0408,-66.9729,-54.1723,-58.3574,-64.9874,-63.3468,-66.8138,-69.8317,-54.7699,-61.7008,-53.1337,-56.3754,-66.1757,-65.2812,-67.8565,-58.5133,-64.7717,-61.6436,-57.8901,-67.3535,-58.2531,-55.5240,-63.2084,-66.1226,-70.0000,-66.9589
93,-61.1729,-63.9482,-67.9301,-64.0646,-61.5516,-70.0000,-56.8622,-60.4603,-65.3230,-60.9879,-70.0000,-70.0000,-52.9125,-63.9033,-54.6990,-59.0244,-62.7903,-60.8096,-65.0845,-63.9808,-66.5162,-59.7911,-60.8652,-67.0709,-63.7137,-61.0548,-66.4743,-62.7381,-70.0000,-69.1547
94,-58.3403,-66.8457,-69.6935,-69.0692,-59.2943,-68.4529,-57.2790,-56.9824,-67.3861,-57.0482,-70.0000,-66.7738,-58.6218,-68.8839,-59.6930,-55.8521,-62.7737,-57.3528,-69.3853,-69.1207,-68.0501,-63.7567,-64.4577,-67.0045,-68.3222,-57.5748,-65.1196,-58.7175,-65.5750,-68.6288
95,-54.7370,-64.2025,-65.8128,-65.9386,-56.7624,-65.0833,-60.9433,-55.7535,-70.0000,-59.5434,-70.0000,-69.2677,-60.7457,-65.2103,-59.2017,-59.9776,-63.4419,-58.6190,-70.0000,-70.0000,-70.0000,-69.0082,-60.3937,-70.0000,-69.4957,-56.6237,-60.6644,-62.3385,-67.8673,-70.0000
96,-53.7667,-61.2448,-63.6320,-64.6799,-55.8755,-62.5179,-61.4132,-57.2425,-70.0000,-56.5281,-67.2616,-67.3419,-63.0710,-66.6675,-58.9628,-59.5507,-65.4303,-63.9084,-70.0000,-70.0000,-70.0000,-68.2394,-58.3507,-65.9740,-70.0000,-56.6273,-58.2292,-66.1525,-67.1543,-70.0000
97,-54.5906,-62.6207,-61.7494,-69.1381,-55.4545,-67.1975,-62.1702,-61.5826,-69.8825,-59.5470,-66.6588,-70.0000,-62.1620,-63.7692,-60.5954,-60.0077,-64.2310,-68.2783,-70.0000,-65.4413,-70.0000,-65.7630,-59.7454,-64.5188,-69.6842,-56.7910,-62.6994,-70.0000,-62.6986,-70.0000
98,-54.2721,-67.7141,-66.9373,-70.0000,-58.5184,-70.0000,-64.7227,-65.3312,-67.9900,-55.7467,-67.7061,-70.0000,-66.3833,-66.3070,-63.9926,-65.3914,-69.4318,-70.0000,-67.7127,-66.3829,-70.0000,-70.0000,-55.8071,-66.4377,-68.8520,-52.7790,-60.6010,-69.7772,-64.3098,-67.4356
99,-58.3213,-70.0000,-69.1422,-70.0000,-57.8395,-70.0000,-64.0295,-69.4017,-70.0000,-60.9214,-66.4370,-67.1765,-67.0742,-64.4529,-60.8823,-61.2679,-66.7452,-70.0000,-67.6136,-65.9272,-70.0000,-70.0000,-51.6105,-62.1410,-70.0000,-52.2364,-64.5255,-70.0000,-69.3905,-69.0540
100,-57.9537,-70.0000,-68.6131,-70.0000,-57.0403,-70.0000,-66.0966,-69.0879,-69.1025,-59.5824,-64.2471,-67.5485,-69.3071,-61.1388,-63.1303,-65.0548,-66.1359,-70.0000,-70.0000,-68.7772,-70.0000,-65.6632,-52.6094,-60.1886,-70.0000,-50.6580,-63.9626,-70.0000,-70.0000,-70.0000
