Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
10,-14.4966,-15.9202,-34.3052,-70.0,-30.2407,-66.8004,-39.3541,-22.3225,-15.2187,-18.6208,-31.834,-21.4286,-21.4096,-33.8287,-17.7911,-22.7397,-70.0,-33.9307,-33.128,-28.6937,-40.1261,-28.6473,-12.7955,-27.0278,-28.8091,-16.2739,-27.7078,-33.9466,-16.5621,-30.183,1
11,-19.8841,-21.4358,-37.5589,-70.0,-31.3408,-66.3133,-40.4645,-25.2987,-15.0759,-24.6937,-34.0621,-27.4554,-20.3586,-35.5989,-22.468,-26.7823,-70.0,-36.6461,-32.4971,-28.4066,-44.0205,-31.609,-13.1522,-24.9556,-28.1356,-21.5583,-28.3221,-37.5823,-20.4072,-29.8608,1
12,-23.4831,-28.0767,-39.163,-70.0,-30.6603,-69.6678,-39.9511,-22.7039,-14.3598,-29.6765,-34.8827,-29.0174,-18.8781,-38.1407,-26.4367,-32.0519,-66.5626,-43.0036,-33.0337,-27.4626,-45.2755,-30.8017,-15.2073,-29.1344,-27.3247,-21.1959,-32.1667,-39.0858,-19.6031,-27.0142,1
13,-26.8188,-27.0264,-43.4431,-70.0,-36.1417,-70.0,-39.4419,-27.3338,-20.849,-26.9055,-36.137,-27.4004,-21.075,-42.5559,-27.9793,-32.2088,-69.8433,-42.5569,-38.5344,-30.2096,-51.4413,-28.6979,-18.7772,-34.8337,-33.4955,-24.7026,-32.3593,-41.9864,-23.2384,-24.3608,1
14,-28.5731,-27.5741,-47.9755,-70.0,-34.6657,-68.5735,-43.2741,-29.9066,-21.8462,-27.4582,-37.2994,-33.6792,-19.7217,-39.8569,-25.7427,-33.4696,-66.1286,-42.3726,-39.6463,-28.957,-53.3522,-34.1646,-16.4112,-35.4052,-33.9409,-22.7063,-38.1372,-40.0383,-24.7695,-30.6013,1
15,-30.9842,-29.5257,-46.1062,-69.6696,-37.3665,-70.0,-45.3403,-29.0062,-26.7331,-33.5296,-43.2046,-39.0861,-19.1437,-37.9907,-24.4742,-36.0761,-66.7448,-48.2571,-43.3261,-31.5661,-53.7945,-38.8546,-16.777,-39.6064,-35.7513,-27.2394,-38.3064,-44.1281,-31.3547,-28.4689,1
16,-36.5876,-27.0301,-52.0323,-66.6587,-42.789,-70.0,-46.8644,-34.0113,-27.9733,-39.8606,-40.298,-45.2001,-19.2571,-35.2143,-29.8532,-38.867,-65.8894,-49.5781,-48.8877,-37.5133,-58.1637,-39.7962,-15.659,-37.664,-39.683,-32.1435,-36.5808,-46.5007,-29.881,-31.3271,1
17,-38.157,-24.4595,-53.1424,-70.0,-44.9249,-68.2524,-49.5643,-38.5546,-27.6287,-38.8737,-41.1133,-44.9191,-19.4335,-34.72,-35.0667,-39.549,-70.0,-48.8382,-45.371,-42.4602,-60.7558,-42.2465,-14.776,-42.7033,-44.5883,-29.2656,-33.2687,-48.3521,-33.7851,-28.8921,1
18,-44.7029,-26.2173,-50.9247,-70.0,-50.1788,-68.4133,-55.3825,-41.7959,-28.0523,-38.0721,-47.1498,-42.971,-18.907,-37.5295,-40.8452,-44.8255,-70.0,-49.7769,-46.5021,-41.9548,-59.033,-43.0303,-21.926,-45.8296,-44.5001,-30.0745,-38.1246,-45.1074,-39.3709,-33.8807,1
19,-45.2666,-24.6753,-52.1871,-70.0,-54.6561,-70.0,-54.5043,-44.3636,-32.8453,-41.8955,-45.8649,-39.444,-25.4855,-40.9406,-41.8989,-41.938,-70.0,-55.3958,-48.1993,-43.7846,-63.5018,-42.5668,-28.2925,-49.0696,-41.4449,-30.2818,-43.6449,-48.9402,-42.693,-31.6772,0
20,-46.8496,-24.1914,-52.5872,-66.1837,-56.305,-66.1672,-60.0417,-50.4128,-33.4487,-38.9515,-51.7395,-41.0519,-29.4608,-41.4169,-44.7017,-41.0916,-70.0,-58.5985,-50.5577,-49.1234,-67.5201,-43.3209,-26.9346,-50.5211,-45.0112,-29.4649,-46.3586,-48.3086,-43.2909,-35.4701,0
21,-47.1467,-27.7667,-50.0709,-61.5612,-55.1016,-62.147,-58.7293,-47.2227,-33.9177,-44.2782,-49.8365,-42.5341,-28.0832,-42.445,-48.5443,-44.7154,-70.0,-62.2414,-48.021,-53.3451,-70.0,-49.5181,-33.4267,-50.8138,-43.1054,-32.3593,-45.2651,-51.4627,-48.8883,-40.1111,0
22,-48.0352,-28.4458,-47.981,-61.8326,-55.871,-65.933,-63.1716,-43.9333,-40.1831,-40.9855,-49.8499,-42.9928,-31.0285,-43.3516,-51.5099,-49.1179,-70.0,-58.2039,-44.9324,-52.406,-70.0,-51.3311,-31.0577,-50.5476,-47.3695,-34.1931,-44.4889,-50.7851,-51.4666,-36.816,0
