Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Cluster
59,-62.8699,-68.8207,-54.9974,-69.5604,-66.3721,-57.295,-63.842,-67.1944,-70.0,-65.8158,-60.0678,-67.2189,-66.4445,-58.3715,-65.4255,-52.4088,-69.6049,-62.7926,-70.0,-59.5201,-57.8636,-60.8786,-61.0677,-59.5447,-67.0901,-63.218,-45.7734,-65.655,-50.7694,-70.0,-67.8655,-64.0733,-59.232,-54.5262,-65.7213,-54.0955,-67.136,-58.0637,-68.8126,-63.2311,-70.0,-70.0,-58.9844,-63.2892,-60.2826,-56.2576,-60.6827,-51.0054,-59.184,-70.0,0
60,-67.3618,-68.5235,-53.0477,-70.0,-69.1272,-55.1033,-60.5235,-62.4294,-65.6807,-61.0631,-56.5109,-66.133,-70.0,-57.3201,-63.2131,-49.4387,-70.0,-64.7892,-69.7596,-55.7654,-61.1482,-59.8378,-61.7733,-56.4513,-66.4351,-61.5794,-45.4089,-64.7988,-47.8586,-68.4897,-70.0,-65.8924,-57.8373,-59.908,-70.0,-50.4944,-69.973,-62.5407,-67.4252,-63.3525,-70.0,-70.0,-57.8588,-59.2393,-62.7689,-61.047,-63.3577,-52.101,-57.4889,-69.6366,0
61,-70.0,-65.8644,-56.8401,-67.3122,-70.0,-57.7933,-56.9011,-58.7146,-65.8855,-64.1707,-52.9053,-66.8374,-70.0,-57.5335,-63.0472,-48.1744,-70.0,-62.5859,-68.1232,-52.0268,-62.5649,-61.5492,-60.8174,-57.4947,-63.8472,-60.0282,-51.2155,-63.6894,-52.026,-70.0,-67.2358,-63.4717,-53.7754,-57.7397,-67.7828,-52.1674,-65.9622,-65.5854,-70.0,-59.8939,-66.22,-70.0,-61.5035,-61.9337,-66.8809,-65.7913,-59.8581,-48.0534,-53.4368,-70.0,0
62,-70.0,-66.2326,-58.0809,-70.0,-70.0,-55.297,-58.525,-56.7605,-61.4998,-64.5317,-52.3301,-70.0,-70.0,-60.0731,-60.7784,-48.9183,-66.5115,-66.1919,-70.0,-50.8298,-65.5678,-64.1152,-64.3737,-54.7287,-62.1849,-61.7325,-53.2865,-64.2522,-48.8488,-70.0,-62.9049,-65.1401,-49.7088,-57.6896,-68.6458,-51.5259,-63.1844,-67.4007,-70.0,-63.8284,-62.016,-69.6374,-65.2871,-57.7926,-64.3765,-64.7979,-60.1289,-47.8903,-57.3955,-70.0,0
63,-70.0,-64.0297,-58.3701,-70.0,-70.0,-60.289,-56.868,-54.7052,-58.9658,-67.1816,-53.2539,-67.4539,-70.0,-63.2587,-58.6314,-50.0285,-70.0,-62.0739,-70.0,-51.722,-69.3976,-68.8866,-64.1811,-51.447,-60.376,-65.2281,-50.8602,-67.9159,-48.95,-69.1215,-62.4593,-61.9129,-53.8836,-57.8699,-70.0,-56.462,-59.7156,-70.0,-67.1619,-62.3186,-59.6596,-70.0,-66.989,-60.8683,-63.808,-66.184,-63.7745,-44.8125,-60.6005,-68.0417,0
64,-67.9638,-65.2119,-62.5507,-67.4976,-70.0,-60.8659,-60.5622,-53.4657,-63.7795,-66.2565,-52.6304,-65.306,-66.9877,-62.8621,-59.1106,-52.4267,-66.6342,-65.0777,-68.7133,-55.1232,-70.0,-68.1271,-64.078,-53.2368,-60.9409,-69.943,-47.5723,-69.3185,-49.6718,-66.8972,-63.2606,-62.8392,-55.7129,-58.2227,-70.0,-56.1042,-57.628,-65.9334,-70.0,-64.3113,-62.2934,-70.0,-70.0,-65.5345,-61.8464,-67.9576,-64.3338,-42.1432,-56.2452,-70.0,0
65,-67.2597,-67.2751,-59.3656,-67.0791,-66.3121,-59.2295,-65.924,-53.1566,-60.3069,-69.2908,-55.6298,-68.7306,-69.2791,-61.6219,-55.602,-48.4037,-64.039,-66.5917,-68.7452,-52.4222,-70.0,-64.5378,-61.8764,-49.6381,-57.7599,-70.0,-53.4099,-64.8674,-49.2363,-70.0,-67.7126,-63.7183,-54.3537,-62.7516,-70.0,-57.0436,-59.354,-65.7018,-66.9241,-65.7362,-60.5244,-70.0,-68.3884,-64.9467,-62.4085,-70.0,-62.0286,-39.4723,-52.8134,-69.7007,0
66,-70.0,-67.1171,-58.5308,-70.0,-70.0,-57.1819,-66.0015,-57.7044,-62.4222,-70.0,-51.6101,-70.0,-70.0,-58.7271,-56.2823,-53.5996,-65.218,-66.4134,-68.4223,-48.8976,-70.0,-62.4345,-58.9303,-48.0976,-54.9764,-70.0,-58.2073,-69.2958,-47.3085,-70.0,-62.9809,-65.6301,-59.7906,-59.2082,-69.4388,-61.9105,-60.3895,-61.9859,-62.8338,-69.1483,-58.8701,-67.0111,-69.4792,-69.9213,-66.7833,-67.6429,-65.8103,-40.3502,-50.2068,-69.3579,0
67,-69.5035,-64.0679,-58.5034,-70.0,-69.4017,-56.7228,-64.735,-61.345,-57.8086,-68.4287,-49.1484,-68.2321,-66.6673,-59.0181,-60.7145,-53.5152,-64.191,-66.1256,-70.0,-52.951,-68.5321,-64.0516,-60.945,-53.9633,-52.551,-70.0,-59.376,-70.0,-50.3037,-69.7479,-64.0276,-70.0,-60.5752,-60.4582,-70.0,-57.3303,-63.9614,-61.041,-58.3557,-70.0,-60.4856,-64.3276,-70.0,-70.0,-62.0913,-66.0795,-69.8959,-46.07,-52.5472,-67.3003,0
68,-70.0,-60.2602,-56.7394,-66.6397,-67.814,-61.0657,-60.2648,-58.376,-58.62,-69.7699,-51.7502,-67.5412,-70.0,-54.786,-60.9833,-49.9095,-66.3479,-70.0,-70.0,-54.3728,-68.424,-69.3176,-56.489,-53.897,-57.8682,-67.7504,-57.0977,-68.8289,-55.2107,-66.4205,-62.0388,-70.0,-58.7318,-56.5323,-67.5949,-61.636,-60.6364,-62.6391,-59.0672,-70.0,-59.4609,-59.8287,-70.0,-67.0883,-57.5379,-67.1175,-70.0,-43.5105,-56.0381,-68.4129,0
