Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
26,-44.0789,-48.5424,-60.4567,-55.1133,-61.3387,-61.8257,-47.1881,-59.9564,-42.6208,-42.2435,-29.9769,-60.6572,-57.0206,-66.6237,-56.5221,-66.3954,-38.8277,-49.3681,-50.3823,-59.229,-61.9865,-57.3271,-62.5211,-70.0,-54.7701,-57.2761,-57.5509,-54.5114,-50.9675,-52.7455,0
27,-40.5952,-52.2007,-58.0354,-57.6032,-61.43,-66.964,-47.422,-56.5838,-48.3025,-41.3367,-30.3062,-62.9765,-56.8753,-62.6134,-55.2939,-62.4102,-36.0063,-48.9438,-51.5889,-63.5319,-61.4467,-61.031,-58.1274,-70.0,-59.8071,-56.969,-56.931,-54.8503,-48.7908,-51.3944,0
28,-44.6319,-54.6642,-63.5086,-58.5602,-59.4267,-70.0,-52.5716,-55.4663,-46.0055,-46.4695,-30.4787,-64.3075,-59.2741,-59.9692,-53.9356,-62.5338,-37.7974,-54.5921,-54.2109,-68.2365,-58.0404,-59.2466,-56.5229,-70.0,-63.7593,-60.0245,-60.7926,-60.4452,-54.7934,-51.98,0
29,-41.2261,-57.6019,-63.8238,-61.4489,-56.5668,-68.2074,-48.5648,-54.0492,-50.3087,-50.197,-31.9384,-67.0799,-62.019,-61.1819,-54.3691,-60.1511,-40.9891,-59.8839,-53.6388,-70.0,-58.655,-61.2228,-60.0343,-65.0377,-62.079,-58.7756,-57.1575,-60.949,-55.0552,-49.1895,0
30,-42.8269,-56.7857,-61.5379,-66.5586,-59.9836,-66.8427,-51.7889,-56.4553,-54.1775,-55.1044,-36.6089,-68.807,-63.996,-59.7335,-50.71,-61.9411,-47.0048,-58.3597,-51.7227,-70.0,-57.4026,-64.4013,-57.478,-61.8669,-58.6009,-56.583,-61.8835,-64.1187,-60.7451,-45.632,0
31,-44.9491,-58.9879,-58.4126,-64.8526,-57.7314,-69.1931,-52.4174,-57.911,-53.8057,-54.8031,-33.7646,-65.8255,-65.434,-55.6301,-48.9192,-62.7909,-47.217,-58.3315,-52.4409,-66.2418,-59.0419,-60.299,-60.1295,-63.9591,-59.801,-55.0239,-60.8662,-61.5245,-65.6893,-47.693,0
32,-44.4233,-62.4793,-61.7107,-67.8555,-54.5063,-70.0,-50.1051,-54.7034,-52.3166,-50.8234,-31.5343,-63.4724,-63.6055,-54.5288,-51.3633,-60.8665,-52.1842,-62.923,-57.288,-65.1992,-55.5461,-65.2749,-61.3365,-65.3766,-61.8391,-53.9421,-61.1371,-58.1272,-65.5274,-49.1437,0
33,-47.0261,-59.5369,-64.2069,-67.4283,-51.0042,-70.0,-54.7652,-51.7596,-52.7034,-48.947,-36.1473,-61.2319,-66.757,-50.9935,-56.2995,-64.7106,-57.7664,-65.6998,-62.0199,-69.0914,-52.3426,-61.7375,-56.8244,-68.0338,-63.7445,-57.7025,-66.0797,-58.69,-63.3222,-49.5128,0
34,-43.2741,-60.3554,-65.4699,-70.0,-54.7449,-66.3563,-58.1795,-51.3773,-56.6051,-52.0805,-42.4752,-59.7779,-65.7712,-48.671,-54.5594,-66.1359,-56.2794,-67.0139,-58.4731,-64.7404,-49.9421,-59.6082,-55.1918,-68.9736,-60.3609,-61.2888,-65.6458,-63.9603,-59.7588,-54.7485,0
35,-45.9873,-64.8128,-67.714,-67.6908,-58.1263,-67.0251,-59.881,-54.4783,-61.6177,-52.836,-44.7097,-59.8657,-68.5516,-50.8551,-55.5012,-63.1478,-55.1744,-63.3923,-60.9252,-67.9527,-49.0218,-63.5765,-54.7913,-70.0,-59.4122,-63.1605,-68.048,-68.1239,-58.524,-53.6813,0
