Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19
66,-65.7924,-57.3730,-70.0000,-64.5872,-65.1532,-64.1630,-68.4909,-53.4007,-62.3961,-52.6117,-62.7372,-69.1290,-68.6410,-57.6155,-52.8637,-65.9463,-70.0000,-68.4933,-69.0059,-70.0000
67,-66.9856,-60.6842,-67.2647,-61.5295,-68.8715,-63.9910,-69.8631,-57.8328,-63.3485,-49.2728,-58.7032,-68.2725,-69.0115,-62.8146,-54.6927,-67.8812,-70.0000,-66.9885,-64.3624,-70.0000
68,-70.0000,-60.6035,-68.3537,-64.9470,-70.0000,-62.7864,-70.0000,-59.1443,-67.2829,-48.3564,-59.2661,-70.0000,-68.0225,-63.5883,-57.3786,-64.4355,-67.0925,-67.5244,-66.8580,-67.7904
69,-69.1781,-63.0040,-66.9538,-65.1266,-66.6236,-60.0672,-67.3589,-62.3689,-68.9586,-49.2218,-55.9452,-70.0000,-65.2020,-61.3520,-54.4149,-62.6575,-65.0178,-69.3352,-66.7490,-69.0620
70,-70.0000,-66.0680,-62.6922,-61.5943,-62.8722,-61.6188,-63.9459,-66.1744,-70.0000,-45.7382,-54.0308,-70.0000,-65.8309,-59.4947,-58.4446,-63.7341,-64.2370,-64.4478,-68.1681,-67.8787
71,-70.0000,-65.2986,-61.9464,-62.4774,-67.0551,-59.0745,-67.3513,-65.1640,-67.3773,-46.5819,-53.4173,-67.6971,-63.9947,-57.5539,-59.5608,-61.5312,-65.9505,-65.7776,-70.0000,-64.5707
72,-66.2732,-68.4645,-66.6190,-65.7686,-65.0813,-57.3810,-65.2734,-64.5707,-65.9506,-50.3440,-55.2036,-65.0160,-61.1323,-53.6373,-61.6305,-60.5023,-64.6633,-70.0000,-69.7434,-68.4775
73,-70.0000,-67.4333,-70.0000,-66.8397,-63.6533,-53.0819,-64.9345,-69.1242,-64.1282,-46.8232,-56.2082,-61.0297,-64.2852,-58.6351,-66.3915,-59.3552,-66.2831,-70.0000,-64.9619,-69.1131
74,-70.0000,-63.6524,-68.6062,-66.2985,-65.6618,-55.1750,-66.5315,-70.0000,-60.5561,-50.7070,-53.0464,-61.9006,-64.3102,-58.7670,-68.3822,-56.6957,-63.2967,-67.7649,-62.8948,-70.0000
75,-70.0000,-63.2133,-70.0000,-64.6759,-65.6409,-58.6230,-68.3157,-70.0000,-63.2286,-48.0952,-49.5281,-65.0723,-68.3324,-60.1319,-70.0000,-60.2213,-64.0946,-66.0618,-60.7928,-68.9825
76,-70.0000,-61.6822,-69.0593,-66.3418,-65.9122,-61.0105,-67.7320,-69.1064,-60.4334,-50.0855,-46.2517,-63.8600,-69.0296,-55.7471,-70.0000,-60.9788,-59.7609,-61.8362,-62.6315,-69.8728
77,-70.0000,-59.3636,-70.0000,-70.0000,-64.4213,-66.0625,-69.0128,-70.0000,-61.6198,-51.2045,-45.6910,-67.3874,-68.7190,-52.8381,-66.9189,-63.5112,-57.5007,-62.4241,-67.1786,-66.2339
78,-70.0000,-57.6016,-70.0000,-70.0000,-62.4655,-61.7962,-70.0000,-70.0000,-59.5281,-47.4027,-48.9407,-63.6346,-67.3164,-57.0381,-70.0000,-67.6161,-60.0216,-64.5122,-68.9087,-69.0776
79,-70.0000,-61.3644,-70.0000,-70.0000,-62.1233,-65.0012,-70.0000,-70.0000,-59.5228,-46.6195,-46.9642,-63.1805,-66.6322,-56.8479,-70.0000,-66.5085,-62.6285,-68.9164,-68.1594,-70.0000
80,-65.9533,-62.7748,-70.0000,-70.0000,-66.8554,-63.7553,-67.8498,-70.0000,-58.7444,-46.6394,-43.2905,-67.6147,-69.0395,-54.5455,-70.0000,-68.5397,-59.8741,-65.8355,-69.0364,-70.0000
81,-70.0000,-66.0302,-70.0000,-68.8305,-70.0000,-61.5488,-65.3714,-70.0000,-57.4127,-45.9802,-40.1805,-65.2620,-68.3251,-56.6750,-70.0000,-67.8601,-63.8329,-68.1059,-66.2993,-69.2315
82,-67.4760,-66.0144,-68.8674,-66.3352,-70.0000,-57.9267,-60.9936,-70.0000,-54.1955,-47.9250,-41.5671,-61.3248,-65.6120,-57.9301,-70.0000,-68.0672,-67.9548,-63.3007,-65.6177,-70.0000
83,-67.0971,-63.8888,-65.6278,-62.2651,-70.0000,-59.4587,-61.2633,-70.0000,-57.9426,-44.9634,-37.9941,-58.2134,-70.0000,-57.0437,-70.0000,-67.1316,-68.3056,-60.8841,-70.0000,-70.0000
84,-66.8645,-63.4038,-61.7450,-58.4643,-70.0000,-56.8430,-60.1684,-66.7224,-62.3219,-42.4802,-44.4068,-60.4988,-70.0000,-54.2005,-70.0000,-69.9516,-67.1371,-61.7478,-70.0000,-69.4613
85,-67.7102,-62.2935,-62.3692,-56.2806,-66.2631,-60.3688,-64.9419,-68.3909,-60.3472,-45.1606,-49.5982,-65.8767,-69.1573,-58.6936,-66.4062,-70.0000,-63.8073,-67.0763,-70.0000,-70.0000
86,-70.0000,-64.4446,-60.1013,-54.7839,-61.7027,-59.6142,-67.0088,-70.0000,-56.5764,-46.7483,-54.5251,-64.0193,-66.8650,-55.2651,-69.9599,-66.8571,-64.4875,-63.4645,-70.0000,-70.0000
87,-67.1638,-69.0937,-62.7722,-51.5886,-61.0180,-63.6480,-66.6957,-67.5578,-52.7506,-46.5574,-59.0333,-67.5610,-66.9840,-53.2785,-66.1955,-68.5915,-66.3256,-59.0179,-65.1205,-70.0000
88,-64.8492,-70.0000,-62.0947,-49.3417,-61.7114,-60.7855,-64.7323,-63.0923,-48.6433,-45.4836,-62.6971,-63.1345,-70.0000,-55.8165,-66.2883,-70.0000,-68.3921,-61.0709,-61.4793,-70.0000
89,-63.6739,-70.0000,-63.7126,-52.1442,-66.0440,-57.7395,-61.7514,-62.6006,-48.9097,-47.1221,-67.6903,-67.8064,-70.0000,-56.8485,-70.0000,-70.0000,-64.3752,-65.4580,-61.7501,-68.0667
90,-59.8381,-70.0000,-60.8804,-50.1187,-66.7839,-57.5034,-59.4024,-65.4465,-47.0016,-45.3562,-69.8412,-66.1597,-70.0000,-62.3498,-70.0000,-67.8187,-61.0147,-69.6163,-59.0272,-70.0000
91,-63.5963,-66.6294,-60.7569,-53.8119,-64.3432,-56.6126,-58.7452,-66.9952,-49.2467,-44.2966,-64.9042,-68.0257,-69.5300,-62.5822,-70.0000,-64.3343,-57.7598,-70.0000,-61.7260,-65.0590
92,-59.2101,-64.6066,-63.9755,-53.8621,-65.1104,-56.4066,-55.9461,-65.2039,-51.8211,-48.1115,-61.2363,-70.0000,-70.0000,-62.2327,-69.0647,-66.6756,-59.9451,-67.9895,-59.6228,-67.2543
93,-63.2099,-62.3131,-62.9312,-52.7237,-70.0000,-55.7310,-53.1852,-67.5751,-52.4563,-47.5436,-58.7794,-70.0000,-67.2779,-61.9519,-69.2977,-70.0000,-65.3475,-70.0000,-56.0036,-65.8815
94,-62.5689,-67.3070,-67.8658,-52.0648,-69.8215,-53.0940,-50.6795,-63.3327,-57.3930,-50.2320,-55.1935,-70.0000,-65.9385,-64.2648,-69.7045,-70.0000,-67.0154,-67.9354,-56.7265,-61.3352
95,-59.5932,-68.3671,-70.0000,-52.8067,-70.0000,-49.4843,-47.6616,-66.1226,-57.6078,-51.9817,-52.2963,-70.0000,-62.5834,-67.6104,-67.3888,-68.5518,-64.5683,-66.4824,-56.5450,-59.4410
96,-61.5386,-70.0000,-69.4230,-57.2596,-70.0000,-51.4474,-52.2425,-63.4444,-55.1419,-54.5266,-49.8525,-66.6576,-59.6810,-70.0000,-70.0000,-70.0000,-68.7990,-64.3050,-53.8588,-57.3144
97,-62.2123,-70.0000,-70.0000,-58.8205,-70.0000,-50.8140,-56.4017,-63.9929,-54.6480,-59.7294,-55.8085,-65.0589,-65.0923,-69.7981,-70.0000,-70.0000,-70.0000,-61.7201,-56.4359,-54.6601
98,-59.3790,-67.3947,-70.0000,-55.6210,-70.0000,-51.6653,-52.4721,-65.0346,-57.6013,-59.1180,-59.5184,-64.9165,-67.8653,-67.8121,-67.1265,-68.6508,-67.2454,-57.4878,-56.0501,-50.8067
99,-57.1640,-69.4921,-70.0000,-52.6703,-66.5195,-49.9096,-50.8557,-62.2626,-61.1294,-54.7303,-55.8347,-63.8241,-64.9689,-63.9965,-65.6045,-70.0000,-70.0000,-58.9510,-59.9489,-55.3553
100,-59.3184,-66.5663,-70.0000,-52.3975,-62.1993,-46.1060,-55.2965,-64.9778,-65.0322,-54.8565,-54.5648,-68.3449,-67.1721,-65.0082,-64.1377,-70.0000,-67.0266,-58.5395,-56.7662,-56.7270
