Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
32,3201.0,3201.0,10.0,10.0,10.0,10.0,10.0,3201.0,3201.0,-1.6382855576042905,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3201.0,10.0,3201.0,10.0,10.0,10.0,10.0,-13.516568231009783,10.0,10.0,3201.0,3201.0,10.0,10.0,10.0,10.0,10.0,3201.0,10.0,10.0,3201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
33,3301.0,3301.0,10.0,10.0,10.0,10.0,10.0,3301.0,3301.0,-4.032038748086487,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3301.0,10.0,3301.0,10.0,10.0,10.0,10.0,-16.260327790146277,10.0,10.0,3301.0,3301.0,10.0,10.0,10.0,10.0,10.0,3301.0,10.0,10.0,3301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
34,3401.0,3401.0,10.0,10.0,10.0,10.0,10.0,3401.0,3401.0,-4.462884457406676,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3401.0,10.0,3401.0,10.0,10.0,10.0,10.0,-15.042455162381836,10.0,10.0,3401.0,3401.0,10.0,10.0,10.0,10.0,10.0,3401.0,10.0,10.0,3401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
35,3501.0,3501.0,10.0,10.0,10.0,10.0,10.0,3501.0,3501.0,-6.642426536498586,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3501.0,10.0,3501.0,10.0,10.0,10.0,10.0,-13.460641088288536,10.0,10.0,3501.0,3501.0,10.0,10.0,10.0,10.0,10.0,3501.0,10.0,10.0,3501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
36,3601.0,3601.0,10.0,10.0,10.0,10.0,10.0,3601.0,3601.0,-4.50352749102335,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3601.0,10.0,3601.0,10.0,10.0,10.0,10.0,-16.58740698854059,10.0,10.0,3601.0,3601.0,10.0,10.0,10.0,10.0,10.0,3601.0,10.0,10.0,3601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
37,3701.0,3701.0,10.0,10.0,10.0,10.0,10.0,3701.0,3701.0,-0.9657051653373464,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3701.0,10.0,3701.0,10.0,10.0,10.0,10.0,-14.386934378290682,10.0,10.0,3701.0,3701.0,10.0,10.0,10.0,10.0,10.0,3701.0,10.0,10.0,3701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
38,3801.0,3801.0,10.0,10.0,10.0,10.0,10.0,3801.0,3801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3801.0,10.0,3801.0,10.0,10.0,10.0,10.0,-11.137158953883382,10.0,10.0,3801.0,3801.0,10.0,10.0,10.0,10.0,10.0,3801.0,10.0,10.0,3801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
39,3901.0,3901.0,10.0,10.0,10.0,10.0,10.0,3901.0,3901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3901.0,10.0,3901.0,10.0,10.0,10.0,10.0,-7.425667247515406,10.0,10.0,3901.0,3901.0,10.0,10.0,10.0,10.0,10.0,3901.0,10.0,10.0,3901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
40,4001.0,4001.0,10.0,10.0,10.0,10.0,10.0,4001.0,4001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4001.0,10.0,4001.0,10.0,10.0,10.0,10.0,-3.2211709436109217,10.0,10.0,4001.0,4001.0,10.0,10.0,10.0,10.0,10.0,4001.0,10.0,10.0,4001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
41,4101.0,4101.0,10.0,10.0,10.0,10.0,10.0,4101.0,4101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4101.0,10.0,4101.0,10.0,10.0,10.0,10.0,-7.473998167210286,10.0,10.0,4101.0,4101.0,10.0,10.0,10.0,10.0,10.0,4101.0,10.0,10.0,4101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
