Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,1001.0,1001.0,10.0,-5.27563883752765,-13.646204233812032,10.0,10.0,1001.0,1001.0,-10.924711366973533,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1001.0,0.052159289345420135,1001.0,10.0,10.0,-8.025895436278294,10.0,-12.902834781697763,10.0,10.0,1001.0,1001.0,10.0,10.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
11,1101.0,1101.0,10.0,-8.91120000971098,-8.46082714586801,10.0,10.0,1101.0,1101.0,-14.519324975829921,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1101.0,-0.4408939693573535,1101.0,10.0,10.0,-8.32829691967829,10.0,-15.955088085261572,10.0,10.0,1101.0,1101.0,10.0,10.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
12,1201.0,1201.0,10.0,-10.623493786740744,-7.8996689128659945,10.0,10.0,1201.0,1201.0,-16.274107793007715,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1201.0,0.50516654392292,1201.0,10.0,10.0,-5.939237227554031,10.0,-11.03410543786109,10.0,10.0,1201.0,1201.0,10.0,10.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
13,1301.0,1301.0,10.0,-10.505310007807191,-7.690810351295508,10.0,10.0,1301.0,1301.0,-17.579587066913792,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,1301.0,10.0,10.0,-5.192169920904508,10.0,-14.87403841408559,10.0,10.0,1301.0,1301.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
14,1401.0,1401.0,10.0,-9.642759820790618,-4.98681132223526,10.0,10.0,1401.0,1401.0,-14.84501149002438,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,1401.0,10.0,10.0,-6.191689938445737,10.0,-15.329789833198744,10.0,10.0,1401.0,1401.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
15,1501.0,1501.0,10.0,-7.341626595599836,-0.9865377762573253,10.0,10.0,1501.0,1501.0,-16.587143782055033,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,1501.0,10.0,10.0,-6.265544645704983,10.0,-10.977281386554864,10.0,10.0,1501.0,1501.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
16,1601.0,1601.0,10.0,-3.6113963195650554,0.7469190329937447,10.0,10.0,1601.0,1601.0,-14.968335210883449,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,1601.0,10.0,10.0,-3.2931861542480707,10.0,-8.4622245689497,10.0,10.0,1601.0,1601.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
17,1701.0,1701.0,10.0,0.9584916888790467,10.0,10.0,10.0,1701.0,1701.0,-15.090753729523865,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,1701.0,10.0,10.0,-3.1781053443957994,10.0,-4.203200091563268,10.0,10.0,1701.0,1701.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
18,1801.0,1801.0,10.0,10.0,10.0,10.0,10.0,1801.0,1801.0,-12.829728857981532,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,1801.0,10.0,10.0,-3.2946623893643583,10.0,-5.281714751083944,10.0,10.0,1801.0,1801.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
19,1901.0,1901.0,10.0,10.0,10.0,10.0,10.0,1901.0,1901.0,-12.731710524697789,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,1901.0,10.0,10.0,-2.150417972168107,10.0,-1.3682917051334318,10.0,10.0,1901.0,1901.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
