Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49
23,-58.7489,-36.1872,-40.5665,-45.6546,-54.9038,-54.6189,-67.7575,-38.9723,-63.6420,-65.5832,-42.0046,-60.5856,-49.3570,-66.5384,-36.6077,-58.1880,-47.3517,-39.8786,-46.4216,-52.3038,-53.3871,-53.9781,-38.7473,-56.1262,-62.8100,-42.6230,-36.3628,-52.5051,-45.4800,-63.2433,-49.1803,-70.0000,-41.0697,-43.7316,-56.9566,-49.8496,-49.2858,-51.6546,-55.8437,-52.0500,-41.5928,-46.0635,-65.3978,-53.2511,-52.7736,-61.7437,-55.8429,-57.4281,-54.2324,-55.1614
24,-56.1467,-41.0267,-41.6601,-45.6441,-51.1001,-52.9213,-70.0000,-37.2614,-64.9347,-67.3885,-40.8889,-61.0560,-52.0544,-63.1266,-36.8894,-56.3225,-45.7880,-41.3338,-44.6829,-57.0723,-53.4672,-57.5793,-37.8825,-56.1389,-59.0553,-40.7859,-35.5846,-54.9425,-46.8834,-64.1731,-46.3479,-70.0000,-39.3340,-40.4087,-60.5839,-55.7647,-48.2606,-55.0923,-58.2933,-53.9950,-39.4465,-48.0715,-68.0292,-53.5975,-50.3158,-64.4660,-61.3271,-59.1091,-56.0527,-52.0729
25,-56.2581,-46.9244,-41.9845,-44.8958,-49.8956,-55.0080,-66.9081,-37.0269,-70.0000,-69.7808,-40.1014,-64.1183,-53.6633,-65.3275,-43.1295,-52.8315,-43.3649,-40.8051,-43.8499,-62.5893,-54.4670,-53.9174,-43.1060,-60.9351,-56.7916,-38.4167,-39.2374,-56.6835,-44.9231,-61.8215,-43.3704,-65.1774,-42.4230,-36.9462,-61.9440,-58.8023,-46.1352,-55.9971,-58.8611,-57.0694,-43.3774,-52.2322,-68.9233,-53.7998,-49.4403,-65.4973,-65.2972,-60.9412,-54.2109,-52.7296
26,-57.7098,-43.5641,-45.6280,-50.1443,-53.6383,-52.2802,-68.3453,-38.3036,-67.8690,-70.0000,-42.6747,-59.5984,-53.5279,-67.5712,-42.5477,-53.1228,-41.0550,-41.5678,-40.5916,-66.0290,-51.7172,-53.0811,-41.6243,-57.0537,-57.7997,-36.4099,-38.6143,-60.9682,-46.6505,-62.6559,-41.3983,-67.9209,-44.4802,-38.1094,-60.2958,-58.8673,-46.7523,-55.4392,-57.4112,-54.7804,-44.9576,-48.5882,-68.2096,-56.6350,-49.8024,-64.3976,-65.3025,-63.6599,-52.8133,-49.6546
27,-54.2003,-41.4818,-43.7909,-48.3422,-51.0406,-54.9907,-66.0965,-43.4764,-67.6487,-68.1164,-41.2782,-55.4732,-52.8987,-69.2934,-41.1927,-51.8869,-43.1418,-41.1374,-45.6598,-64.5130,-55.6758,-53.5460,-44.5300,-55.7244,-58.1680,-38.0605,-37.4527,-65.8946,-50.1826,-61.5193,-40.9261,-70.0000,-44.9278,-41.0872,-62.9820,-57.2332,-47.1983,-60.3574,-54.0593,-59.5433,-47.2480,-53.6316,-66.1483,-59.8784,-53.2956,-60.2286,-62.1967,-62.1547,-49.1437,-46.3438
28,-53.4236,-47.1558,-47.6725,-47.9297,-54.7803,-59.4090,-67.3744,-48.2028,-66.3990,-70.0000,-46.9043,-58.6677,-58.1806,-64.5833,-40.7102,-54.2204,-49.2533,-41.6856,-42.4561,-61.4880,-58.5438,-52.8272,-42.5193,-52.1400,-61.2827,-41.9794,-43.3711,-64.2151,-49.1514,-63.4996,-41.5618,-70.0000,-41.2417,-43.0410,-60.4861,-61.3370,-53.1522,-56.6518,-58.1447,-63.8053,-44.5675,-59.4299,-66.0246,-59.7354,-58.3239,-61.1712,-60.7615,-66.7193,-54.4699,-46.2600
29,-54.0766,-49.6105,-45.5830,-45.9253,-52.2855,-59.4286,-70.0000,-44.8324,-61.7709,-69.7059,-46.5288,-56.4744,-60.8339,-62.6674,-42.3627,-50.3396,-47.9533,-46.1574,-48.7259,-62.6519,-59.7966,-51.7560,-43.2685,-54.7140,-57.7300,-43.7819,-48.6825,-61.8411,-51.4599,-63.0844,-41.8997,-67.5172,-42.8765,-42.1624,-65.3069,-66.1529,-50.9528,-54.4878,-58.8787,-64.9534,-45.4263,-61.5414,-66.9242,-60.1909,-58.6331,-63.0066,-65.5515,-64.4140,-51.7261,-46.8686
30,-54.8871,-50.6537,-46.1500,-51.1076,-56.1912,-60.8853,-70.0000,-41.5855,-58.3298,-67.2216,-49.9221,-53.4745,-65.1511,-62.3411,-45.5498,-49.4597,-52.8280,-48.0112,-46.5898,-64.8685,-64.3086,-51.6882,-44.1686,-58.2296,-53.6835,-42.3711,-52.5373,-62.1577,-49.1096,-67.5526,-39.4939,-70.0000,-43.9068,-45.8926,-66.3856,-62.8669,-48.4950,-52.9781,-59.6338,-69.8756,-50.4181,-65.8961,-64.7466,-62.4429,-63.2847,-61.3163,-64.0764,-60.6990,-52.0618,-43.1644
31,-56.9537,-56.3442,-44.2144,-52.7434,-54.5726,-60.2210,-70.0000,-44.1387,-57.5240,-64.8039,-54.8721,-58.3899,-66.9962,-61.6149,-45.4629,-51.6512,-55.8632,-49.7521,-48.7244,-67.7481,-61.7467,-49.1161,-44.7137,-59.8833,-53.7066,-42.8488,-49.3102,-64.4243,-48.6541,-70.0000,-42.5583,-69.2945,-47.1776,-47.1171,-69.3326,-59.6735,-50.8218,-52.4406,-56.6409,-70.0000,-48.9736,-63.9914,-65.0269,-65.2926,-63.2885,-65.5900,-63.0551,-59.3807,-49.7447,-47.9074
32,-60.1227,-60.2489,-48.9430,-51.6235,-59.6529,-63.8938,-67.2204,-42.7605,-61.1051,-67.8029,-55.7886,-61.6321,-68.0612,-65.0547,-46.6082,-54.3633,-61.5351,-47.5124,-50.6748,-63.9701,-63.8580,-54.0451,-41.8418,-58.8432,-59.5134,-45.5493,-49.0444,-59.7504,-50.6615,-66.1971,-47.5486,-69.0731,-51.9119,-44.3551,-70.0000,-58.7391,-47.9640,-56.1833,-52.3741,-66.2440,-46.2729,-65.0964,-65.0898,-68.9370,-59.2338,-69.8141,-65.5789,-55.7029,-51.6499,-51.4748
33,-59.5458,-59.5651,-46.3248,-53.9515,-57.5399,-59.4660,-67.5925,-45.6976,-61.1100,-68.0030,-55.8795,-64.4832,-70.0000,-60.3991,-48.4133,-50.7728,-57.7577,-43.9451,-50.7907,-66.4615,-61.8549,-57.9037,-42.9848,-57.8446,-63.1487,-46.1956,-50.5520,-58.9545,-53.2039,-66.1389,-49.2913,-64.8733,-48.4043,-47.4842,-65.0861,-54.8858,-49.7025,-58.2915,-51.7567,-62.5420,-44.0272,-67.4465,-60.9130,-70.0000,-62.8246,-69.9094,-67.0921,-58.8897,-57.0782,-53.8012
